1697200250653351690,310a
1697200250757052780,320a
1697200250859892670,330a
1697200250962256530,340a
1697200251064690530,350a
1697200251168086910,360a
1697200251271439740,370a
1697200251374401570,380a
1697200251477634170,390a
1697200251580814590,31300a
1697200251683423760,31310a
1697200251787324220,31320a
1697200251891507740,31330a
1697200251994381210,31340a
1697200252097049340,31350a
1697200252199519630,31360a
1697200252302277790,31370a
1697200252405671280,31380a
1697200252508234250,31390a
1697200252610704330,32300a
1697200252713317530,32310a
1697200252816588430,32320a
1697200252919063330,32330a
1697200253021567730,32340a
1697200253124066830,32350a
1697200253226674850,32360a
1697200253329242970,32370a
1697200253432488060,32380a
1697200253535612960,32390a
1697200253638672450,33300a
1697200253741799370,33310a
1697200253844349150,33320a
1697200253946916650,33330a
1697200254049371210,33340a
1697200254151918690,33350a
1697200254254426220,33360a
1697200254356885360,33370a
1697200254460203790,33380a
1697200254562841260,33390a
1697200254665343290,34300a
1697200254767803070,34310a
1697200254870371680,34320a
1697200254973677050,34330a
1697200255076895810,34340a
1697200255179472730,34350a
1697200255281918320,34360a
1697200255384431820,34370a
1697200255486955980,34380a
1697200255589599900,34390a
1697200255693093580,35300a
1697200255796336220,35310a
1697200255898750080,35320a
1697200256002038990,35330a
1697200256104596700,35340a
1697200256207273150,35350a
1697200256309903500,35360a
1697200256412476570,35370a
1697200256515095660,35380a
1697200256617599610,35390a
1697200256720759520,36300a
1697200256823479660,36310a
1697200256926097020,36320a
1697200257028645660,36330a
1697200257131239730,36340a
1697200257233715070,36350a
1697200257336163470,36360a
1697200257439425330,36370a
1697200257542157100,36380a
1697200257644721290,36390a
1697200257747234650,37300a
1697200257849800940,37310a
1697200257952402890,37320a
1697200258054843280,37330a
1697200258157282160,37340a
1697200258259694450,37350a
1697200258362261600,37360a
1697200258464784860,37370a
1697200258568128380,37380a
1697200258670823010,37390a
1697200258773330990,38300a
1697200258876647870,38310a
1697200258979300620,38320a
1697200259081917790,38330a
1697200259185210430,38340a
1697200259288322320,38350a
1697200259390793120,38360a
1697200259493996590,38370a
1697200259597270730,38380a
1697200259699839200,38390a
1697200259802314220,39300a
1697200259904796610,39310a
1697200260007955730,39320a
1697200260110472370,39330a
1697200260212992700,39340a
1697200260316327050,39350a
1697200260418981170,39360a
1697200260521509890,39370a
1697200260624033290,39380a
1697200260728128330,39390a
1697200260830659200,3130300a
1697200260933349650,3130310a
