1697189070697084090,310a
1697189070801220870,320a
1697189070904856900,330a
1697189071009149910,340a
1697189071112806440,350a
1697189071217238710,360a
1697189071319864390,370a
1697189071423718490,380a
1697189071527099220,390a
1697189071631383620,31300a
1697189071736583800,31310a
1697189071841108730,31320a
1697189071944907210,31330a
1697189072047529270,31340a
1697189072152538580,31350a
1697189072255835490,31360a
1697189072358676840,31370a
1697189072463426070,31380a
1697189072568439030,31390a
1697189072671431670,32300a
1697189072776260490,32310a
1697189072879329430,32320a
1697189072983896470,32330a
1697189073088600970,32340a
1697189073196178120,32350a
1697189073299620100,32360a
1697189073402757190,32370a
1697189073507083060,32380a
1697189073610522040,32390a
1697189073715901620,33300a
1697189073819538310,33310a
1697189073923905370,33320a
1697189074028428260,33330a
1697189074131422610,33340a
1697189074234496340,33350a
1697189074337426730,33360a
1697189074441367930,33370a
1697189074544107110,33380a
1697189074647542770,33390a
1697189074751425380,34300a
1697189074856359350,34310a
1697189074959153350,34320a
1697189075062596360,34330a
1697189075165491890,34340a
1697189075269231910,34350a
1697189075372637730,34360a
1697189075476129490,34370a
1697189075578711350,34380a
1697189075683878920,34390a
1697189075786936550,35300a
1697189075891723880,35310a
1697189075996518070,35320a
1697189076099033590,35330a
1697189076203008950,35340a
1697189076308130100,35350a
1697189076411397540,35360a
1697189076515441610,35370a
1697189076618870040,35380a
1697189076721888520,35390a
1697189076825592530,36300a
1697189076929573210,36310a
1697189077032519530,36320a
1697189077134879700,36330a
1697189077239003530,36340a
1697189077344458070,36350a
1697189077447452130,36360a
1697189077551283510,36370a
1697189077656334090,36380a
1697189077760660970,36390a
1697189077865134820,37300a
1697189077968713160,37310a
1697189078072441690,37320a
1697189078176592870,37330a
1697189078279463220,37340a
1697189078385657650,37350a
1697189078489616820,37360a
1697189078592948870,37370a
1697189078696900820,37380a
1697189078799998890,37390a
1697189078903132760,38300a
1697189079005772730,38310a
1697189079109335480,38320a
1697189079212220040,38330a
1697189079316052520,38340a
1697189079419375490,38350a
1697189079522270730,38360a
1697189079625532490,38370a
1697189079729508680,38380a
1697189079832878340,38390a
1697189079936047240,39300a
1697189080038937860,39310a
1697189080142681490,39320a
1697189080245630420,39330a
1697189080348243220,39340a
1697189080451384170,39350a
1697189080555844650,39360a
1697189080658838950,39370a
1697189080761977400,39380a
1697189080864448410,39390a
1697189080967587450,3130300a
1697189081072831620,3130310a
1697189081176477940,3130320a
1697189081280814450,3130330a
1697189081383732020,3130340a
1697189081487046690,3130350a
1697189081591614900,3130360a
1697189081696489320,3130370a
1697189081800918610,3130380a
1697189081904478310,3130390a
1697189082007860890,3131300a
1697189082112063030,3131310a
1697189082215509160,3131320a
1697189082321252150,3131330a
1697189082425677590,3131340a
1697189082529277270,3131350a
1697189082634649330,3131360a
1697189082739605650,3131370a
1697189082844518740,3131380a
1697189082949072650,3131390a
1697189083053082840,3132300a
1697189083157047460,3132310a
1697189083260512150,3132320a
1697189083363549830,3132330a
1697189083467580230,3132340a
1697189083572026810,3132350a
1697189083675908850,3132360a
1697189083778363670,3132370a
1697189083881893010,3132380a
1697189083984886040,3132390a
1697189084088836770,3133300a
1697189084192497430,3133310a
1697189084295646610,3133320a
1697189084400613690,3133330a
1697189084503483460,3133340a
1697189084608511060,3133350a
1697189084711577130,3133360a
1697189084816180010,3133370a
1697189084919073220,3133380a
1697189085022913460,3133390a
1697189085128182820,3134300a
1697189085232490980,3134310a
1697189085335622950,3134320a
1697189085439498500,3134330a
1697189085544222840,3134340a
1697189085647304970,3134350a
1697189085749790130,3134360a
1697189085853662790,3134370a
1697189085956522170,3134380a
1697189086061447610,3134390a
1697189086165332070,3135300a
1697189086269518470,3135310a
1697189086372519860,3135320a
1697189086477378550,3135330a
1697189086580533430,3135340a
1697189086684400170,3135350a
1697189086788422090,3135360a
1697189086891938210,3135370a
1697189086996695640,3135380a
1697189087100374610,3135390a
1697189087203194200,3136300a
1697189087305999460,3136310a
1697189087410029830,3136320a
1697189087512769810,3136330a
1697189087616684610,3136340a
1697189087720485960,3136350a
1697189087824949250,3136360a
1697189087928603330,3136370a
1697189088032987850,3136380a
1697189088136511770,3136390a
1697189088240485640,3137300a
1697189088345133700,3137310a
1697189088448916730,3137320a
1697189088553496200,3137330a
1697189088657566130,3137340a
1697189088761399860,3137350a
1697189088865571270,3137360a
1697189088968716790,3137370a
1697189089071932490,3137380a
1697189089176812810,3137390a
1697189089280974170,3138300a
1697189089384436680,3138310a
1697189089488532230,3138320a
1697189089593095530,3138330a
1697189089696524090,3138340a
1697189089800564100,3138350a
1697189089905257970,3138360a
1697189090008136970,3138370a
1697189090111888810,3138380a
1697189090214521530,3138390a
1697189090319494390,3139300a
1697189090422761810,3139310a
1697189090525919370,3139320a
1697189090629317170,3139330a
1697189090732042680,3139340a
1697189090835412630,3139350a
1697189090940533290,3139360a
1697189091043830770,3139370a
1697189091148193380,3139380a
1697189091253273650,3139390a
1697189091356423490,3230300a
1697189091460320600,3230310a
1697189091564812660,3230320a
1697189091668449250,3230330a
1697189091772763770,3230340a
1697189091876475130,3230350a
1697189091980364360,3230360a
1697189092083994340,3230370a
1697189092187447160,3230380a
1697189092290225910,3230390a
1697189092393821080,3231300a
1697189092497072260,3231310a
1697189092599530370,3231320a
1697189092701761970,3231330a
1697189092805617510,3231340a
1697189092907504490,3231350a
1697189093009616230,3231360a
1697189093112659730,3231370a
1697189093217438930,3231380a
1697189093319718980,3231390a
1697189093424504890,3232300a
1697189093528646490,3232310a
1697189093632253650,3232320a
1697189093736765400,3232330a
1697189093838637320,3232340a
1697189093941265250,3232350a
1697189094045526740,3232360a
1697189094147762260,3232370a
1697189094251400500,3232380a
1697189094354579650,3232390a
1697189094457017640,3233300a
1697189094560545590,3233310a
1697189094664413190,3233320a
1697189094766438810,3233330a
1697189094871405770,3233340a
1697189094976275480,3233350a
1697189095080516210,3233360a
1697189095183496690,3233370a
1697189095287879830,3233380a
1697189095392736710,3233390a
