1697189070697100230,310a
1697189070801237000,320a
1697189070904873030,330a
1697189071009166040,340a
1697189071112822570,350a
1697189071217254840,360a
1697189071319880520,370a
1697189071423734600,380a
1697189071527115350,390a
1697189071631399770,31300a
1697189071736599930,31310a
1697189071841124850,31320a
1697189071944923320,31330a
1697189072047533850,31340a
1697189072152554710,31350a
1697189072255851640,31360a
1697189072358692970,31370a
1697189072463442200,31380a
1697189072568455160,31390a
1697189072671447800,32300a
1697189072776276610,32310a
1697189072879345570,32320a
1697189072983912600,32330a
1697189073088617090,32340a
1697189073196194250,32350a
1697189073299636170,32360a
1697189073402773320,32370a
1697189073507099190,32380a
1697189073610538180,32390a
1697189073715917730,33300a
1697189073819554450,33310a
1697189073923921490,33320a
1697189074028444390,33330a
1697189074131427510,33340a
1697189074234512470,33350a
1697189074337442850,33360a
1697189074441384050,33370a
1697189074544123220,33380a
1697189074647558900,33390a
1697189074751441510,34300a
1697189074856375480,34310a
1697189074959169480,34320a
1697189075062612450,34330a
1697189075165508020,34340a
1697189075269248040,34350a
1697189075372653860,34360a
1697189075476145620,34370a
1697189075578727480,34380a
1697189075683895050,34390a
1697189075786952680,35300a
1697189075891740010,35310a
1697189075996534200,35320a
1697189076099049720,35330a
1697189076203025080,35340a
1697189076308146210,35350a
1697189076411413670,35360a
1697189076515446210,35370a
1697189076618886170,35380a
1697189076721904650,35390a
1697189076825608660,36300a
1697189076929589320,36310a
1697189077032535650,36320a
1697189077134895830,36330a
1697189077239019650,36340a
1697189077344474200,36350a
1697189077447468260,36360a
1697189077551299640,36370a
1697189077656338680,36380a
1697189077760677090,36390a
1697189077865150950,37300a
1697189077968729300,37310a
1697189078072457810,37320a
1697189078176609010,37330a
1697189078279479350,37340a
1697189078385673800,37350a
1697189078489632950,37360a
1697189078592965010,37370a
1697189078696916950,37380a
1697189078800015030,37390a
1697189078903148890,38300a
1697189079005788870,38310a
1697189079109351610,38320a
1697189079212236180,38330a
1697189079316068650,38340a
1697189079419391640,38350a
1697189079522286850,38360a
1697189079625548630,38370a
1697189079729524810,38380a
1697189079832894490,38390a
1697189079936063370,39300a
1697189080038954010,39310a
1697189080142697620,39320a
1697189080245646570,39330a
1697189080348259350,39340a
1697189080451400310,39350a
1697189080555860770,39360a
1697189080658855080,39370a
1697189080761993530,39380a
1697189080864464550,39390a
1697189080967603570,3130300a
1697189081072847750,3130310a
1697189081176494050,3130320a
1697189081280830600,3130330a
1697189081383748120,3130340a
1697189081487062820,3130350a
1697189081591631030,3130360a
1697189081696505450,3130370a
1697189081800934740,3130380a
1697189081904482890,3130390a
1697189082007877010,3131300a
1697189082112079160,3131310a
1697189082215525300,3131320a
1697189082321268260,3131330a
1697189082425693730,3131340a
1697189082529293400,3131350a
1697189082634665460,3131360a
1697189082739621800,3131370a
1697189082844534870,3131380a
1697189082949088790,3131390a
1697189083053098970,3132300a
1697189083157063610,3132310a
1697189083260528280,3132320a
1697189083363565960,3132330a
1697189083467596360,3132340a
1697189083572042930,3132350a
1697189083675924980,3132360a
1697189083778379810,3132370a
1697189083881909140,3132380a
1697189083984902180,3132390a
1697189084088852900,3133300a
1697189084192501930,3133310a
1697189084295662740,3133320a
1697189084400629810,3133330a
1697189084503499590,3133340a
1697189084608527210,3133350a
1697189084711593250,3133360a
